sequence_id,cluster,kingdom,kingdom_confidence,kingdom_source,phylum,phylum_confidence,phylum_source,class,class_confidence,class_source,order,order_confidence,order_source,family,family_confidence,family_source,genus,genus_confidence,genus_source,species,species_confidence,species_source,is_novel
seq_18,0,Potential Novel Kingdom (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Phylum (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Class (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Order (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Family (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Genus (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Species (Cluster 0),0.0,Potential Novel Cluster,True
seq_19,0,Potential Novel Kingdom (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Phylum (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Class (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Order (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Family (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Genus (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Species (Cluster 0),0.0,Potential Novel Cluster,True
seq_20,0,Potential Novel Kingdom (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Phylum (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Class (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Order (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Family (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Genus (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Species (Cluster 0),0.0,Potential Novel Cluster,True
seq_21,1,Potential Novel Kingdom (Cluster 1),0.0,Potential Novel Cluster,Potential Novel Phylum (Cluster 1),0.0,Potential Novel Cluster,Potential Novel Class (Cluster 1),0.0,Potential Novel Cluster,Potential Novel Order (Cluster 1),0.0,Potential Novel Cluster,Potential Novel Family (Cluster 1),0.0,Potential Novel Cluster,Potential Novel Genus (Cluster 1),0.0,Potential Novel Cluster,Potential Novel Species (Cluster 1),0.0,Potential Novel Cluster,True
seq_22,1,Potential Novel Kingdom (Cluster 1),0.0,Potential Novel Cluster,Potential Novel Phylum (Cluster 1),0.0,Potential Novel Cluster,Potential Novel Class (Cluster 1),0.0,Potential Novel Cluster,Potential Novel Order (Cluster 1),0.0,Potential Novel Cluster,Potential Novel Family (Cluster 1),0.0,Potential Novel Cluster,Potential Novel Genus (Cluster 1),0.0,Potential Novel Cluster,Potential Novel Species (Cluster 1),0.0,Potential Novel Cluster,True
seq_23,-1,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,False
seq_24,0,Potential Novel Kingdom (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Phylum (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Class (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Order (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Family (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Genus (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Species (Cluster 0),0.0,Potential Novel Cluster,True
seq_25,-1,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,False
seq_26,0,Potential Novel Kingdom (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Phylum (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Class (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Order (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Family (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Genus (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Species (Cluster 0),0.0,Potential Novel Cluster,True
seq_27,0,Potential Novel Kingdom (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Phylum (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Class (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Order (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Family (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Genus (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Species (Cluster 0),0.0,Potential Novel Cluster,True
seq_28,0,Potential Novel Kingdom (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Phylum (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Class (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Order (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Family (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Genus (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Species (Cluster 0),0.0,Potential Novel Cluster,True
seq_29,0,Potential Novel Kingdom (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Phylum (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Class (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Order (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Family (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Genus (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Species (Cluster 0),0.0,Potential Novel Cluster,True
seq_30,0,Potential Novel Kingdom (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Phylum (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Class (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Order (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Family (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Genus (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Species (Cluster 0),0.0,Potential Novel Cluster,True
seq_31,-1,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,False
seq_32,0,Potential Novel Kingdom (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Phylum (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Class (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Order (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Family (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Genus (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Species (Cluster 0),0.0,Potential Novel Cluster,True
seq_33,-1,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,False
seq_34,0,Potential Novel Kingdom (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Phylum (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Class (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Order (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Family (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Genus (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Species (Cluster 0),0.0,Potential Novel Cluster,True
seq_35,-1,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,False
seq_36,-1,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,False
seq_37,-1,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,False
